,Gene ID
1088,GDI1
1089,GDI2
1090,GEM
1091,GFER
1092,GFI1
1093,GFPT1
1094,GGCX
1095,GGT1
1096,B4GALT1
1097,GGT7
1098,GHR
1099,GIPR
1100,GJA3
1101,GJB2
1102,GK
1103,GLA
1104,GLB1
1105,GCLC
1106,GCLM
1107,GLDC
1108,GLDCP1
1109,GLE1
1110,GLG1
1111,GLI1
1112,GLI4
1113,GLO1
1114,GLS
1115,GLRX
1116,GLUD1
1117,GLUD2
1118,GLUD1P3
1119,GLUL
1120,GM2A
1121,GMDS
1122,GMFB
1123,GMPR
1124,GNA11
1125,GNA12
1126,GNA15
1127,GNAI2
1128,GNAI3
1129,GNAQ
1130,GNAS
1131,GNAZ
1132,GNB1
1133,GNB2
1134,GNG5
1135,GNG7
1136,GNG10
1137,GNG11
1138,GNGT2
1139,GNL1
1140,GNRH1
1141,GNS
1142,GOLGA1
1143,GOLGA2
1144,GOLGA3
1145,GOLGA4
1146,GOLGB1
1147,GOT1
1148,GOT2
1149,SFN
1150,GPC1
1151,GPD2
1152,GPI
1153,GPLD1
1154,GPM6A
1155,CCR10
1156,CXCR3
1157,GPR15
1158,GPR18
1159,GPR19
1160,GPR25
1161,GPER1
1162,GPR34
1163,GPR35
1164,FFAR1
1165,FFAR2
1166,GRK4
1167,GRK5
1168,GRK6
1169,MKNK2
1170,GPS1
1171,GPS2
1172,GPX1
1173,GPX4
1174,GPX7
1175,GRB2
1176,RAPGEF1
1177,GRIA3
1178,GRN
1179,GRIK4
1180,GRIN2A
1181,GRINA
1182,NR3C1
1183,ARHGAP35
1184,GRM3
1185,GRM8
1186,PDIA3
1187,GRPR
1188,GRSF1
1189,GSK3A
1190,GSK3B
1191,GSN
1192,GSPT1
1193,GSR
1194,GSS
1195,GSTA4
1196,GSTM1
1197,GSTM2
1198,GSTM3
1199,GSTM4
1200,GSTP1
1201,GSTT1
1202,GSTZ1
1203,MSH6
1204,GTF2A1
1205,GTF2A2
1206,GTF2B
1207,GTF2E1
1208,GTF2E2
1209,GTF2F1
1210,GTF2F2
1211,GTF2H1
1212,GTF2H2
1213,GTF2H3
1214,GTF2H4
1215,GTF2I
1216,GTF2IP1
1217,GTF3A
1218,BRF1
1219,GTF3C1
1220,GTF3C2
1221,GUCY1A1
1222,GUCY1B1
1223,GUK1
1224,GUSB
1225,GYG1
1226,GYPC
1227,GYPE
1228,GYS1
1229,H1-0
1230,H1-2
1231,H1-3
1232,H1-4
1233,H1-5
1234,H2AC8
1235,H2AC7
1236,H2AX
1237,H2AZ1
1238,H2BC5
1239,H2BC3
1240,H3-3A
1241,H3-3B
1242,H1-1
1243,HSD17B10
1244,HAGH
1245,HADHA
1246,HADHB
1247,HADH
1248,HARS1
1249,HBD
1250,HCCS
1251,SERPIND1
1252,HCFC1
1253,HCK
1254,HCLS1
1255,HTT
1256,HDAC1
1257,HDAC2
1258,HDGF
1259,HDLBP
1260,HELLS
1261,NCKAP1L
1262,HEXA
1263,HEXB
1264,HFE
1265,HGF
1266,HHEX
1267,HIC1
1268,HIF1A
1269,HIP1
1270,UBE2K
1271,HINT1
1272,HIVEP1
1273,HIVEP2
1274,HK1
1275,HK2
1276,HK3
1277,ZBTB48
1278,HLA-A
1279,HLA-B
1280,HLA-C
1281,HLA-DMA
1282,HLA-DMB
1283,MNX1
1284,HLA-DOA
1285,HLA-DOB
1286,HLA-DPA1
1287,HLA-DPB1
1288,HLA-DPB2
1289,HLA-DQA1
1290,HLA-DQA2
1291,HLA-DQB1
1292,HLA-DQB2
1293,HLA-DRA
1294,HLA-DRB1
1295,HLA-DRB5
1296,HLA-DRB6
1297,HLA-E
1298,HLA-F
1299,HLA-G
1300,HLA-H
1301,HLA-J
1302,HLA-K
1303,HLA-L
1304,MR1
1305,HLCS
1306,HMBS
1307,HMGB1
1308,HMGB2
1309,HMGB3
1310,HMGN1
1311,HMGN2
1312,HMGCL
1313,HMGCR
1314,HMGCS1
1315,HMGA1
1316,HMMR
1317,HMOX1
1318,HMOX2
1319,NR4A1
1320,HMX2
1321,FOXA3
1322,HNF4G
1323,HNMT
1324,SLC29A2
1325,HNRNPA1
1326,HNRNPA2B1
1327,HNRNPAB
1328,HNRNPC
1329,HNRNPD
1330,HNRNPF
1331,HNRNPH1
1332,HNRNPH2
1333,HNRNPH3
1334,HNRNPK
1335,HNRNPL
1336,HNRNPU
1337,HOXA1
1338,HOXB2
1339,HOXB3
1340,HOXB4
1341,HOXB7
1342,HOXC4
1343,HPCAL1
1344,HPRT1
1345,HPS1
1346,HRAS
1347,AGFG1
1348,AGFG2
1349,PRMT2
1350,PRMT1
1351,HES1
1352,HSBP1
1353,HSD17B4
1354,HSF1
1355,HSF2
1356,HSF4
1357,DNAJB2
1358,DNAJA1
1359,HSPA1A
1360,HSPA1B
1361,HSPA1L
1362,HSPA2
1363,HSPA4
1364,HSPA5
1365,HSPA6
1366,HSPA7
1367,HSPA8
1368,HSPA9
1369,HSPB1
1370,HSP90AA1
1371,IGSF3
1372,HSP90AA2P
1373,HSP90AB1
1374,HSP90AB3P
1375,HSPD1
1376,HSPE1
1377,DNAJB1
1378,DNAJC4
1379,HSPG2
1380,NDST1
1381,FOXN2
1382,HTR2B
1383,HTR6
1384,HUS1
1385,TNC
1386,IARS1
1387,ICA1
1388,ICAM1
1389,ICAM2
1390,ICAM3
