PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,1601,1401,1001,901
4.690573667,2.335668667,4.458118333,4.359818667,8.660556,6.104032667,5.477192667,4.542597667,2.888256667,3.636362667,4.99614868,2.154783,2.151576,3.568980667,5.478846333,5.719830667
14.07554333,13.79580833,13.35149933,11.46074133,15.03904933,13.002814,15.95827433,13.444542,14.342472,12.26750633,13.50574692,14.76184833,12.92240267,17.167055,17.054795,14.89173267
6.182419,5.602012,6.686164667,5.300584,5.511384333,5.939090667,6.531696333,5.459761333,4.575764667,4.291471333,5.48895864,5.513220333,4.982182333,6.738488,6.394761333,5.712786667
36.71720867,32.82259167,21.59496867,33.20473233,44.04881933,30.14975067,31.01340567,36.35357233,42.783748,48.778517,35.8413082,31.46244067,32.97558567,33.63153133,34.595037,32.869271
4.022690667,5.429296333,2.827832333,3.232564,2.429067333,3.151165,5.076619667,4.263052667,4.493531667,2.795205333,3.57047408,4.860974,4.209618333,4.521442,3.666458,1.108258667
3.130022,3.122952,2.388214333,2.412553333,1.455851333,2.203013667,2.442212667,2.292101333,1.910586,1.953843,2.13680684,2.158861667,2.348054333,2.019768,1.845138333,1.571845667
17.283733,14.22885233,13.190734,12.19201067,13.569379,9.704232,15.77325633,16.038641,11.563179,10.77114167,13.05843708,15.38613467,14.76996167,15.945251,17.20721033,17.57936567
3.299495667,3.951481667,4.266167,3.607549,5.009158,3.848361333,4.210716,3.313762333,2.309941333,3.476689333,3.73632812,4.299031,3.736518333,3.297957333,3.293339,4.983006333
18.13864933,15.22119133,11.94560567,11.90327533,12.43863867,7.62061,13.30693833,14.949742,10.58522167,13.35607933,12.70349596,14.665737,14.14609867,14.83170033,12.466602,10.77890433
6.162696667,8.194437667,4.856039333,4.933628,3.562461333,3.511690667,3.983199,5.160366667,3.045283,3.598752333,4.09833148,5.285109333,4.404814,4.864103,3.162892667,2.857242667
2.697293333,2.145484,2.561372,1.627302333,1.973508,2.043299,2.754229,2.324086333,1.751005667,1.238612,2.04091748,1.598139333,1.473845,2.796606667,3.623988333,3.227336667
2.466378667,3.756796333,2.613120333,2.172390333,4.178451667,3.015257667,3.728301667,3.032707,3.81048,2.030705333,3.02990528,3.492276333,2.149991667,2.147096333,2.907842333,2.292622667
6.431258667,6.749353333,3.551540333,4.755604667,2.548239,1.909296667,2.444014333,3.766628667,2.334694,2.790588667,3.10484532,2.413148333,2.052451,3.354684333,1.888874333,2.465328667
110.080396,56.51441967,58.66722367,94.36539533,94.160184,77.06435867,119.8547517,80.666658,46.98767,95.20023933,85.35970052,95.745244,108.2039083,74.29360967,80.34290733,103.3500227
3.110880667,0.625381333,1.039752,2.370767667,3.159867333,1.185068333,2.422552667,3.642095333,3.746,1.677775667,2.3563248,0.717120333,1.670054333,3.058775,5.044016333,4.002326333
7.859758333,9.694846,5.119840333,5.404701667,4.474126333,3.242861667,5.067414667,5.348262667,3.621987667,4.191165667,4.68730456,5.620070333,5.72468,5.412544333,4.937897667,4.639754
3.42308,5.945370333,2.605236333,1.499809,1.720453,2.184241333,3.027233667,2.924726,2.56241,2.361827333,2.40259424,2.088629333,2.292127,2.071809,1.302207333,1.884968333
10.84363433,13.97991467,2.662550667,6.579720667,3.009608667,3.729926667,4.29678,5.868569333,5.347876,5.185077,4.73553384,8.042697333,7.165245,7.722357,3.063092,3.326700333
24.230798,23.085758,22.87778333,18.332455,17.141051,19.569885,22.64337267,23.89836833,21.01399433,18.12634133,20.52726508,25.507166,18.89729167,25.92833667,30.492107,26.019609
52.84696867,18.94346133,36.11965033,34.92693633,31.09978133,28.18646333,41.96255667,32.37558167,36.20619,47.36521567,37.10839548,40.21987167,40.06836467,34.91468133,35.64347333,39.13607133
3.33331,2.886338333,4.842554667,2.920073,2.583122667,2.591442333,3.280379667,3.533042333,2.807891667,1.911621,3.03044164,2.208709,1.590209333,2.963700333,3.401882667,2.951155667
2.456729333,7.203149,12.63683267,3.675652,6.239330333,3.450352667,4.857978667,3.730243,2.214019,2.185158667,4.7178024,4.687184333,1.551037,5.211751667,8.455716333,8.612006667
2.165794667,1.030975,5.326427667,3.048006,4.553443,5.221826333,1.991672,0.786536,5.098180333,13.14186533,5.04120812,10.17482567,2.977212,1.898607333,3.133858,3.625512333
2.693581667,2.923781667,3.268233667,3.239684333,5.03495,3.977964,4.102711333,3.271197667,3.525508667,3.934802667,3.77984468,3.056212333,2.988296,3.878470333,3.788289667,3.626127333
2.804809667,3.440928667,2.212772333,2.995241667,1.294972,2.142930333,2.626285333,2.212560667,2.813274333,2.131621667,2.29177224,3.689968667,4.163872,2.693616667,1.319410333,0.640804333
9.313309667,11.56117667,5.759587333,6.620323333,9.203672333,7.309817,9.435045,7.560824667,6.736362667,9.190871,7.79724652,9.491602333,9.707331333,10.99306367,7.235677667,4.494655333
381.9653683,350.0174457,218.2971153,237.5990013,242.53303,166.927015,251.6686147,326.9791047,270.6664913,205.419507,247.1583347,291.0378417,352.028038,333.7787733,336.3970127,246.5409543
4.511263333,5.506124,6.33315,5.523650667,8.433921667,8.129823,7.805834,7.063518333,6.535374667,7.227645333,7.0525692,5.759070667,5.574514333,6.114167333,6.991963,8.754459
3.775145,3.844385,4.559983667,3.417273333,3.268542667,2.887847,4.215975,4.293127667,2.958938,2.979843667,3.6009608,3.250220667,3.108478667,3.929889667,4.173807667,4.437444
9.609814333,8.551431,6.598714667,5.510486,6.424791667,4.96471,6.949492667,7.799453667,7.380039,6.110581667,6.7174498,7.889152,7.280975667,7.190599333,7.441603667,7.285116667
236.7729313,173.3671943,162.3997217,148.6281993,175.2629417,110.6412553,203.8746293,211.163899,149.274408,169.4659547,174.5802704,211.1468827,221.0151927,207.34023,195.1535337,164.1710833
2.031136,1.653691333,2.96697,1.851981,7.933607667,10.88053833,7.175233,7.089655333,10.53161533,5.046702,6.49234748,0.896704,1.661605667,4.028172,6.849797667,3.806643333
12.66870467,19.45295433,5.851214333,8.992542667,5.483226,5.125962333,6.010423667,7.966632667,8.444988667,7.845065333,7.14918672,10.58673867,8.118053,7.137685,2.506302,2.343828667
4.191996,1.813319333,2.510329333,3.467588333,3.934051,1.860152667,3.677484667,2.716956,1.368530333,1.083306,2.53653008,1.241152667,1.114843333,3.483751667,4.756204667,4.297233
3.274204667,4.624467,2.183895667,3.053489667,2.427052,2.328421667,2.134257667,2.614352667,2.817892333,4.06806,2.78459076,2.242707333,3.612337667,3.762343,1.311783333,3.184346667
8.462547667,5.325271,6.913792,6.520442667,5.323150333,4.115954333,6.434686,5.687683667,3.805299667,7.263465333,5.79293912,3.738093333,3.611035667,6.199072667,4.535917333,3.685705333
19.735113,20.81453533,19.59840633,17.607181,21.47736433,20.461693,21.113137,16.733698,15.852163,20.093629,18.88232056,21.50987167,21.65948,19.86036033,19.29863867,21.357328
