Short Gene Name,PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,1601,1401,1001,901
TNNI1,2.4615086666666666,0.8035723333333333,2.2509306666666666,3.203583333333333,4.154680666666667,4.027313666666667,3.55887,2.4624599999999996,1.0865363333333333,1.8711143333333335,2.812995239999999,2.2110386666666666,1.4150973333333334,3.881648333333334,4.504224,5.247918333333334
HIST2H2BC,1.792984,1.6967686666666666,2.4310306666666666,1.9824556666666666,2.4260039999999994,2.18547,2.039068,2.636805666666667,1.7708633333333335,2.0023223333333333,2.1693916,1.9239783333333333,2.4887643333333336,1.6743953333333332,1.5785343333333335,1.7439823333333333
FBRSL1,2.394566333333333,3.4326906666666663,3.7951876666666666,2.486148,4.167765999999999,4.0904956666666665,4.148781,3.6967823333333336,3.502861,4.012941666666667,3.7123997600000007,3.833484,3.5330166666666663,3.0508290000000002,2.606981,2.831109
CPSF7,7.912573000000001,7.179864666666667,7.922089333333332,6.931389666666667,7.991055666666665,7.669803333333334,9.693712333333332,8.780914333333333,7.036586666666667,7.433820666666667,7.887981120000001,9.234914999999999,9.854535666666667,9.534166666666666,8.938474333333334,7.4776576666666665
SNHG1,39.157794333333335,24.294584666666665,27.940824666666668,36.94782733333333,28.261851333333336,19.81470966666667,35.359506333333336,35.96194166666667,18.38140233333333,29.48269133333333,30.153004959999997,39.461394000000006,41.58714833333334,29.014169,30.755771,29.935832
LPHN2,12.784093666666669,16.468290999999997,18.458896333333332,8.518113999999999,6.6617696666666655,6.875426666666667,11.174768333333333,12.639480333333333,6.915966,7.341006666666668,10.007324919999997,6.316377333333333,7.275876,9.355493000000001,13.143754666666666,15.049299666666668
GTF2F2,23.932422333333335,13.765683333333333,14.322074,15.364980333333333,15.226188,10.520315333333333,17.697023666666666,19.858456333333333,15.531499333333334,15.734339666666665,15.908799559999999,17.781782000000003,17.958118000000002,18.170736,18.32913533333333,13.267281333333335
TMC6,1.470569,1.4926873333333333,2.371346,1.694225,2.3866806666666665,2.215263333333333,2.207996666666667,0.986384,0.8411326666666668,0.7393643333333334,1.6451692399999995,0.9631656666666667,0.8432409999999999,1.5221656666666668,1.2603216666666668,2.430957333333333
SDC3,39.541354000000005,53.42735966666667,32.515679,42.884802666666666,46.12491433333333,34.18780466666667,31.553128333333333,31.199673,29.565633333333334,47.360598333333336,36.91640248000001,19.443232,31.598546999999996,29.449844000000002,19.880269,31.705514000000004
LOC642361,2.905887,3.040017,3.0140026666666664,3.0329770000000003,3.701659,2.832751,3.2356166666666666,3.242101,2.4278619999999997,3.982868666666667,3.20631792,2.7601723333333332,2.6192689999999996,2.9505269999999997,3.238744666666667,3.013168333333333
ADNP2,9.900732666666668,8.956746333333333,7.918020666666668,7.825748,5.888281999999999,6.172029333333334,7.248672,7.426318333333332,6.136845999999999,6.429913,6.97945852,10.159098666666667,7.795573666666667,9.730269,8.816120666666666,6.716272333333333
ETF1,15.102127333333334,12.004161999999999,13.523631666666667,10.855097666666666,10.914680333333331,8.980345999999999,12.459061,13.546155333333331,9.522759333333333,8.639185,11.196779720000002,13.768072666666667,10.900348,13.856295333333334,14.731513666666666,15.118031333333333
SDCCAG3,5.15412,4.363656,5.379971333333334,5.165597333333333,6.205551,5.913982999999999,6.609900666666667,6.230773666666667,5.876740000000001,5.601012,5.811423239999999,8.336579333333333,5.597834666666667,6.731156333333334,7.643914,7.005485333333334
SMAD5,5.150676,4.304891666666667,4.623037666666667,5.384835,7.0405256666666665,4.359136666666666,5.106619666666667,5.304520666666667,3.674739,5.620370666666667,5.235361520000001,6.560433333333333,4.561960333333333,7.793916333333335,6.7015476666666665,4.814905
REXO4,5.534230666666667,6.457323666666667,6.565256666666667,3.639210333333333,3.3342213333333333,2.9109203333333333,5.186447333333334,4.860210333333333,4.4541813333333335,3.8414230000000003,4.428103640000001,5.157474666666666,4.563773,4.436761333333333,5.0039326666666675,5.294135333333333
MORN4,7.832660333333333,8.933442333333334,6.253412,6.868578333333333,6.839816666666667,4.143631666666667,7.807489666666666,4.858079,6.277268666666667,7.2723476666666675,6.45758412,6.755381,7.659716333333333,6.564511,5.637628333333333,3.2797156666666667
