Short Gene Name,logFC,logCPM,PValue
ZNF548,0.084009761,8.725807898,0.603580393
SNORD114-1,-1.334329775,10.59333893,0.025191247
FAM204A,-0.171682344,5.847549914,0.105919476
HOTS,0.982898229,10.043998,0.592207132
SZT2,-0.073097997,7.162614462,0.622275874
SNORD115-32,-0.0146842,4.931633219,0.973500767
CSDE1,0.044316848,5.346290672,0.756073957
FAM199X,-0.143244773,7.909680716,0.594360146
SLC44A2,0.447864042,4.633282353,0.094278037
CRY1,-0.027449616,5.198267978,0.976177853
TWF1,-0.134445507,10.90481148,0.671389598
BUB1B,-0.095504625,6.261373754,0.302982021
CRTC1,0.008670902,4.621748357,0.939625034
SEMA5B,-0.2346843,4.669539913,0.136573998
BCYRN1,0.210191916,7.81000171,0.177390768
CAPZB,-0.240168073,5.446787377,0.202492793
KBTBD4,0.030583083,6.707939139,0.892908184
SLC7A4,-0.047136553,4.84731838,0.751402525
URM1,-0.133084918,5.512105377,0.290694212
TNFRSF1A,0.025179007,5.034824923,0.854329491
FADS2,0.106127321,5.218926633,0.433581956
DVL3,0.178243888,5.461039099,0.205927604
ASAP2,-0.195019389,5.372659172,0.314073806
THBD,-0.114204054,5.50288121,0.380872359
NIT2,-0.345461495,4.896800947,0.015140202
VCL,0.038401647,4.638076645,0.873067075
ORMDL3,-0.005488118,5.180879261,1
CHAMP1,-0.487489816,4.996546283,0.050395215
GPC6,0.169867384,4.967919864,0.513354797
ASH1L,-0.210026985,6.628939112,0.133628257
ARHGDIG,0.179452353,7.930806613,0.18530175
RHOB,-0.040663699,12.69417045,0.826883008
ZNF749,-0.313428441,6.391624272,0.568289215
MTRNR2L9,0.21461572,7.566131842,0.707714574
ZNF474,-1.04073564,6.120136237,0.001738119
BID,0.177571368,5.541951071,0.134074333
PALMD,0.036165562,6.210188832,0.895271123
HEBP1,-0.082540242,5.932935159,0.671323111
HDAC6,-0.153952452,6.864889654,0.119386054
NSA2,-0.030474259,5.725431807,0.836345355
ARHGAP39,0.012672955,6.177912327,1
ZNF775,0.046570962,5.588248052,0.794455794
MYL12A,0.347842641,5.290343278,0.023509885
POLDIP2,0.524775477,13.37896263,0.164195944
RDH14,-0.064108881,5.123961788,0.608513394
DYNC1LI1,0.043541268,7.781628124,0.737793076
METTL16,0.111486363,5.264307244,0.491949314
SMC6,-0.067321786,5.497690366,0.587536127
PET100,-0.002337754,4.62674624,1
E2F5,-0.005598705,6.371865013,0.968661838
MTMR12,0.091449823,4.759286036,0.5973731
DNAJC21,-0.114175025,4.49098366,0.639651141
KIAA0141,0.004686258,6.073802002,1
CCK,-0.151861136,5.948540309,0.248663836
CLGN,-0.009859918,6.774471191,0.973591328
CAPZA1,-0.227938206,7.934497125,0.292700837
ATF1,-0.131799622,7.207319943,0.282855277
OAT,0.057725768,9.355730354,0.707882464
NDUFB5,0.066831643,4.745338433,0.712210368
MIS18BP1,0.595607936,5.59461497,0.058966106
CDC42,0.208465458,4.978522761,0.153217816
HMBOX1,-0.022347264,4.98240448,0.877411055
PLCG2,0.216078387,5.161263284,0.159710055
KIAA1143,0.019974184,5.280440249,0.850667937
ENTPD6,0.594550963,5.88194082,0.002299849
CMTR1,-0.106997936,6.292575851,0.318836626
NMU,-0.239911616,6.487221699,0.153385002
SLC39A11,-0.198316993,4.49851499,0.319230735
SUFU,0.091810552,4.854912728,0.575775968
KDM4A,-0.08331547,4.689880953,0.59616428
SSH3,0.131264296,6.745256457,0.317490294
HELZ2,0.063765067,6.855997939,0.6546952
TSPAN3,-0.169950851,8.994321777,0.297463594
COQ6,0.002279002,5.335083768,1
ZNF883,-0.004747489,5.229877953,1
GSTM1,0.11100124,5.379176688,0.381571945
SETD5,0.237767065,6.387728256,0.127213861
PRX,0.210671181,4.757682622,0.186436871
DNAJB9,0.283605108,5.977420832,0.200765425
IGSF9B,-0.242341161,10.51847031,0.132688182
RNF38,0.049702386,5.374255725,0.852003274
ERCC2,0.34049561,4.73327486,0.034295354
POLA1,-0.120963018,9.257948104,0.491454699
ELF3,0.042138493,4.828718453,0.841989723
NUP62,-0.531970251,4.96085074,0.040330315
TXLNG,-0.200412702,5.34142951,0.110748166
CHURC1,-0.137929126,6.279373007,0.326349725
C4orf47,0.18754153,4.66690854,0.316321034
ATRN,0.186862013,5.262485521,0.326232135
YAE1D1,1.174622038,7.956125918,0.74806152
ARHGEF7,0.566292814,5.714982454,0.026249621
NAA20,-0.139440278,5.165987778,0.412114371
RXRA,-0.263697802,8.568433619,0.195321512
VANGL2,0.693844949,5.043562592,0.021070636
TINAGL1,-0.207703843,5.206357692,0.386188686
KIF5A,0.028535129,5.358804419,0.902021538
VEZT,0.214106824,5.078326699,0.317258431
LINC00467,-0.033646645,5.122973819,0.935280993
WDR25,-0.085454174,4.842928825,0.734411874
GSTM2,-0.012869448,4.810895647,0.972117031
RADIL,-0.113265737,5.506908128,0.331786312
SKA3,0.362012375,5.462198794,0.086715676
ZNF764,-0.023426823,5.257809938,0.976739094
PDE10A,-0.003053204,5.290790691,0.946110469
GOLPH3,0.432095182,5.417314186,0.193608393
SV2A,0.472673493,5.301013189,0.04035206
CNDP2,0.056523592,10.47999688,0.703133381
PITPNM1,-0.150257215,6.686187113,0.33766102
FLRT1,-0.17378475,11.36920988,0.121004894
WASF2,0.157288219,5.083795234,0.259599773
EPCAM,0.001397573,6.315099286,0.999365612
FCHSD2,0.322349755,8.254291158,0.037669184
HIST1H4E,-0.128920833,8.077730887,0.471608708
CPD,-0.436741232,4.480583271,0.059585292
RPS12,0.227744182,5.319283763,0.219880493
PFDN4,-0.0352875,11.32885051,0.760434681
YWHAQ,-0.098832055,7.030996764,0.47588161
PPP2R5E,0.117573516,4.648862579,0.55986713
VIM-AS1,0.858147739,4.929896653,1.02E-06
METTL18,-0.128995433,4.792598768,0.442150332
SMIM3,0.553320207,4.647748938,0.080548893
NBPF9,0.140670524,5.243388233,0.47745099
AHCY,-0.247224083,4.977687884,0.062405744
ADCK4,0.087122762,4.64040841,0.658067851
FAM181B,-0.183444058,12.36552989,0.256971211
ST7,-0.155350405,7.348654487,0.429524384
LMF2,0.172313752,4.922638684,0.281830488
OTUD4,-0.060515845,5.1620637,0.662039097
FBXO22,0.18113978,5.365779429,0.123897064
PIGP,-0.020196033,6.041613203,0.922649159
ARMC8,0.403218027,5.873958035,0.184122955
ERCC8,0.228701996,6.74699309,0.117697507
SIRT5,0.044445386,5.601751739,0.692166482
AKR1B10,0.191815864,4.715210378,0.240081982
ENC1,0.066425734,4.650664328,0.76465181
TUBGCP6,0.275016148,4.860823513,0.078186085
GOLGA7,0.262562481,4.689882275,0.119220655
KALRN,0.136718812,5.099408599,0.3404468
MCCC1,-0.421721874,7.126919404,0.003483931
NAPB,0.477951976,4.458952973,0.021760467
ARID1B,-0.05550222,4.814534582,0.689476902
KDELR2,-0.061606131,7.424106652,0.623456154
ARHGAP32,-0.154143233,8.336067959,0.371946768
RBM18,0.240376516,5.953153104,0.038142203
LPAR1,0.036704464,5.330451031,0.804013301
C4orf33,0.327474018,7.414700297,0.084380062
PLEKHA1,0.233820316,4.84026423,0.129872409
DPAGT1,-0.011058082,6.344759725,0.960453901
CPAMD8,0.037325429,9.275818825,0.894031088
MRPL50,0.129908377,5.611392446,0.44851369
BASP1,-0.285466651,5.113861997,0.030062414
ELL2,-0.037731073,5.723149193,0.860441637
RBM10,0.182697745,4.800056721,0.292581923
CACNB1,-0.068393507,5.937258407,0.62547679
SCARNA5,-0.091210317,5.583556243,0.683564804
FAN1,0.119697084,5.639544038,0.347658711
TMX2,0.180048479,5.420563179,0.204133557
DSP,-0.443861377,6.020406374,0.030212947
SPEF1,0.280104663,4.984073399,0.060355303
TM7SF2,-0.051456317,5.320283025,0.71455021
MARK1,-0.240815489,6.511759672,0.139794377
MICAL3,0.029537101,4.604894736,0.949743178
CBX6,0.229885225,5.043515272,0.399968354
CNN2,-0.237971631,4.548165461,0.264437546
UACA,0.744044456,4.455682812,0.003608033
CEP120,-0.053392462,4.955454682,0.761270559
EPHX1,0.421538273,4.523714813,0.395324767
LOC399491,0.00158415,5.943492499,0.96886248
BAIAP2,-0.248982767,5.28339969,0.259812852
DRG2,-1.297709161,5.333112381,0.007285553
NAA16,0.376755973,4.590325435,0.305811139
CEND1,0.854222621,4.74429023,0.003202133
ALMS1,0.151509319,4.725493789,0.356738488
SLC8A2,0.156864926,5.066196072,0.266173289
MTA2,0.007438604,4.969128093,1
LEMD3,0.369297935,4.874303197,0.024778349
SRSF6,0.619206285,4.807631228,0.016148051
ACSF3,0.125514193,4.933810162,0.622365171
PWWP2B,0.196025623,5.482047746,0.204181722
SLPI,-0.005186943,7.049910561,0.979425379
CYB561,-0.126952051,11.07380387,0.49026729
MOB4,0.068890236,5.230299761,0.813014808
DENR,-0.19496122,5.731854175,0.430279943
FAM220A,-0.096327331,6.022141304,0.54803608
BIN1,-0.049554348,5.278660799,0.739955065
APOO,0.296329926,5.184114713,0.117925783
CTSD,0.233249109,4.500504695,0.41083663
RPS24,-0.071567799,5.096094166,0.603897357
TMEM231,0.126504619,5.420153325,0.347624078
ACVR1,0.269177438,5.658351356,0.038402532
CEP192,-0.036500048,5.154888779,0.831819343
ISCA2,-0.034821534,7.161166089,0.810463755
MED26,-0.674466097,6.88731223,0.061570757
MYBPH,0.13479046,4.669646411,0.422054067
PROCR,-0.129116581,7.259002121,0.361565431
ZFYVE21,0.446070475,5.282434736,0.059014724
MMS19,-0.835159638,5.212127094,0.041974514
CLUH,0.135415784,7.161204415,0.609310085
KRT18,-0.062116424,5.049979413,0.79759444
ATPAF2,0.122291026,5.827814258,0.695885482
SLC3A2,-0.208787292,6.091299033,0.206210043
HAND2,0.001503144,5.83181764,1
RNF19A,-0.016842562,5.630484733,0.946631008
PSENEN,0.01047485,5.536321372,1
TGFBR3,-0.019444797,11.43497618,0.864739262
ZNF490,-0.075076919,5.907853272,0.589314232
RBPMS,-0.063846969,5.960438177,0.665267197
ZNF493,-0.052362277,5.67157557,0.771048835
TIGD1,0.098657277,5.563114538,0.481272984
EIF5,-0.054153905,4.639090192,0.77166555
HNRNPUL1,-0.274234525,6.812417694,0.05264068
MCM7,0.208843885,5.0912278,0.138126239
RPL36,-0.304123418,5.731931585,0.021596079
KIF2C,-0.211589035,5.456839411,0.28047302
SMARCA2,-0.129106152,6.970714805,0.541993071
CEP57L1,0.288187307,4.61862483,0.090220875
AK1,0.305787872,6.848406652,0.092876664
FEM1A,-0.29024428,7.748241785,0.258662755
CRLS1,0.000736032,4.832853381,1
ASIC1,0.134000086,4.972847842,0.420573284
ANP32B,-0.065796651,5.483780068,0.559202651
NCBP2-AS2,-0.081238259,7.145524449,0.47459774
RGMA,-0.100375548,6.677565253,0.419267037
RBM15,0.147782216,4.749839188,0.347352227
ZFC3H1,-0.094135436,4.717787922,0.638314178
KCTD5,0.157619061,5.236344016,0.370856459
ANKS1A,-0.016010774,4.855932529,0.954066342
ARMC7,-0.021834921,5.276470879,0.944114778
NUP54,-0.101339285,4.682637297,0.63377694
ARFGAP3,0.430384933,4.708550248,0.048466619
DCTN3,0.352266139,4.63221803,0.0389124
ZBTB3,0.035233982,4.655599472,0.847988068
PUM1,0.113206508,5.652750057,0.368624285
QTRT1,-0.176216383,12.64094656,0.456576076
PCF11,-0.342897628,5.815653286,0.044133807
GSTA1,-0.253699131,5.153177096,0.040610558
LENG8,-0.019215132,5.418281204,0.896519539
SBF2,0.892007699,5.676494417,0.019610066
RPL23AP7,-0.045278243,4.969897626,0.915454491
ATP13A2,-0.049265127,4.748543187,0.823304166
ZNF185,-0.10721156,5.454367573,0.496786899
SRPRB,0.019875683,7.090144369,0.925714519
USP48,-0.066779022,5.961953724,0.584272452
PDLIM2,-0.128699082,4.903960081,0.435087663
BARD1,0.174210585,6.644682186,0.493742035
SPRYD4,0.114933679,4.976908724,0.406820543
PUSL1,-0.330941301,5.463235693,0.034089598
ARHGAP5,-0.015640405,4.73984637,1
CD74,-0.135151003,7.675794343,0.624643917
TMEM57,-0.122663074,5.107000746,0.561947477
PLOD3,0.243168934,4.632480494,0.164292286
FREM2,0.122599577,5.809078907,0.265775105
TOPORS-AS1,1.431117642,10.32494358,0.010518552
LIN28B,0.089447946,5.639466013,0.743386241
TMEM72,0.111581437,4.753537545,0.733938686
SNX8,0.396212999,4.830085311,0.027727488
MFF,0.482781301,6.652272552,0.24934775
RAB11FIP4,-0.324844343,5.313235999,0.126456401
PPP6R2,-0.101634526,4.90861307,0.49450109
TNRC6A,0.007250286,9.283131038,0.963581679
PDCD11,0.098203345,4.743200189,0.575859627
SNORA61,0.060297899,7.356039429,0.868192478
RAB15,-0.171306195,5.485467249,0.14638827
SKA2,-0.365488849,6.657075292,0.006585343
DMRTA2,-0.412562508,8.075622151,0.275233514
LARP1,0.116426092,4.920262656,0.538815555
SNORD116-18,0.211125275,4.720214416,0.189267625
PDGFRB,-0.131248135,6.19129702,0.358980584
MASP1,-0.134759799,5.268684759,0.258299031
KIAA1731,-0.215442849,5.311449363,0.237361448
SYNPO,0.080604484,4.669551582,0.622209411
NOG,0.359305928,5.834764705,0.050897114
SLC35E1,0.151950163,4.647395501,0.341034815
ATP5I,-0.068043264,5.340649632,0.572214088
SIRT1,-0.183946671,7.83065901,0.050129193
SSB,0.033044359,4.741322064,0.835954891
AKAP10,-0.197036317,10.7265007,0.042983677
SNORD103B,0.15024089,7.154376974,0.250126532
DESI2,-0.223761121,5.018338232,0.411686415
WSB2,-0.208719339,5.490782045,0.12617225
RAB21,-0.181850048,8.519617068,0.191403996
ALPL,0.169463518,4.83111135,0.511454131
RFTN2,-0.057118665,6.939783205,0.661946711
GPKOW,0.094767168,6.769841136,0.506592716
CIDECP,-0.053593438,4.669158175,0.774758046
MIEF2,-0.017250807,5.707735144,0.878705294
RPL10A,0.477159219,5.741192464,0.058937844
CEP97,-0.410962558,5.469482501,0.012869331
NDNF,-0.124169495,6.571626441,0.715085124
VDAC3,-0.232343874,5.750207672,0.15960448
RPS6KA2,0.183422289,5.195236474,0.44384708
LOC101926898,-0.130880297,4.868849292,0.356919978
LOXL2,-0.174975215,7.682561099,0.233552829
GSTM3,-0.610455077,7.619560517,0.046718919
PNCK,0.824902383,5.080250396,0.021913974
DAP,-0.040814219,6.360521113,0.66620695
LOC642423,-0.033679131,4.727285727,0.885756347
GOPC,-0.177959872,5.150055752,0.159456572
ITM2B,-0.305354734,7.882780553,0.027966143
S100A11,-0.044583665,4.93049543,0.797171918
EHBP1L1,1.035188134,7.493424034,0.4949365
HAUS5,-0.106609759,4.729989167,0.530187169
ZNF473,0.894676635,4.838305548,0.104584704
GPNMB,0.377430588,4.74726269,0.038834307
SLC39A12,0.01040569,10.89633055,0.871473247
OGN,-0.209460061,8.71883045,0.347005314
ZNF610,-0.195844911,5.037832633,0.299551683
CAMKK2,0.416164772,4.660253411,0.057203731
PPME1,0.225343607,5.640681506,0.151427565
SNORD9,0.113099878,4.723090166,0.500064253
SLC4A8,-0.454668832,4.679948485,0.090455108
C1orf85,-0.157460384,5.584380478,0.546500979
TMEM18,-0.150248374,5.197026277,0.300651215
CRYBB1,-0.002123293,7.368086784,0.982475886
SERPINA1,0.074207703,5.991910763,0.620215464
CMTM4,0.037914458,6.012032371,0.799649211
POLD3,0.047835589,6.085292498,0.832576265
MEGF8,0.025766006,5.553708038,0.805930636
AMIGO2,-0.433130291,4.83525181,0.158406866
PKM,0.585340205,4.987451341,0.098579158
ERMP1,-0.143353361,7.068773975,0.062818093
BMS1P20,-0.249443603,5.346069473,0.107485186
MGAT5,0.302396746,4.488891612,0.414992923
SMEK1,-0.04907406,4.870752045,0.811689642
MSX2,-0.10193045,7.455954864,0.643998879
TRMT112,0.062824376,6.675946763,0.54971988
SMARCAL1,0.197210263,6.198249309,0.269725605
CLPP,-0.101881713,5.171583607,0.616513083
PPAPDC1B,-0.017963346,4.647336348,0.859335381
SOCS3,0.575284174,4.607514185,0.006844008
FGB,0.22485111,5.135036922,0.397211201
POLR2G,0.417103915,6.238920102,0.682087847
SERTAD3,-0.016743078,11.5035628,0.892523172
DUSP26,0.124006967,5.003711205,0.45548063
MRP63,0.182761533,6.785059728,0.27005912
PSMA1,0.019022169,5.771821177,0.848061542
ZNF844,-0.307978601,6.461233793,0.188738863
DANCR,0.712992899,6.475004506,0.018307381
PWP2,0.015270042,5.301802797,0.989257588
CCDC19,-0.280752937,7.426155081,0.050369407
SNAR-B2,-0.119666195,4.819362391,0.446968877
SNORA57,-0.099307296,6.050118129,0.489199281
CLK3,-0.391612049,7.566935849,0.279058142
BNIP3L,-0.131714508,7.425453058,0.556634293
ADAM11,-0.130905974,5.383297295,0.308115725
LGALS2,0.137336911,5.695115759,0.326493198
STK3,-0.086001788,6.351381267,0.436024229
PHKG2,0.337439917,5.477378286,0.016957579
GUK1,0.04311262,4.758237566,0.774776683
INA,-0.159613285,5.899871647,0.096103263
APTX,-0.034764885,4.782617607,0.846292719
3/8/2021 0:00,-0.17645354,6.076177365,0.132214238
RLIM,-0.951647707,5.495679084,0.003155191
HIF1A,0.142663355,5.548682773,0.351612916
COPE,0.305705352,7.203210769,0.116912773
SNX2,-0.531778026,6.574727187,0.013868113
ETV3,-0.067394454,4.706832569,0.716193768
CC2D1A,-0.091252486,5.180015383,0.468119414
TMEM261,-0.057701243,6.683947347,0.581605456
DFFA,0.077826808,5.485258417,0.724522489
RBM8A,-0.094331581,6.421147928,0.367643195
CALM1,0.035147013,5.262274009,1
TWF2,-0.004171451,4.668307388,1
TLN2,-0.025075862,5.442327901,0.890125572
SOWAHC,0.257791319,4.586725302,0.103374329
SNORD85,0.040001691,5.051964568,0.763175682
ASPHD1,0.238569718,5.084294207,0.084373525
CROCCP2,0.125288422,5.162198636,0.328763864
ZC3H7A,-0.160698601,5.002452159,0.287424559
C20orf112,-0.839748908,5.268542859,9.53E-08
SERPINE1,0.133312122,4.924351441,0.396272544
SNORA66,-0.000563472,5.370793589,0.994420042
SNHG15,-0.084720495,6.285087767,0.341898598
ETNK1,0.154093248,6.205718666,0.143393152
CCDC134,-0.169562899,11.05463211,0.174091551
KPNA1,0.187914367,5.294021038,0.478182403
FEM1B,0.248775028,7.064851398,1
PPIF,0.037417845,4.709831575,0.920149126
KCTD21,-0.158940297,5.776065719,0.310461926
CYFIP1,-0.312617599,5.503047913,0.003862661
MTHFR,0.75131385,4.946775286,0.008237733
POMZP3,0.115054123,4.805722279,0.815063393
UBE2I,0.388530942,6.489657366,0.23463156
TMEM242,-0.019642288,5.605705074,0.89609324
ZNF543,0.016952261,7.426437118,0.905732198
TRAP1,0.122932716,4.907276715,0.43692525
NARF,0.332744086,7.305532,0.240660844
KPTN,-0.125139583,4.777050189,0.365575516
GATAD2B,0.094575229,4.95135184,0.563175954
NELL2,0.062054644,4.818725023,0.945593201
FGD6,-0.467695774,7.248818236,0.02462349
EPRS,-0.007347305,8.814454531,0.952443664
EIF4E2,-0.12204243,7.396485289,0.414504084
MTURN,0.031230934,4.505226231,0.950254308
ST5,-0.286358737,8.035539103,0.514895827
FBXO38,-0.293450085,4.71084424,0.107254051
UBXN2B,-0.046538497,4.822648071,0.690671519
PARP2,-0.121258048,6.866058567,0.360289042
KLHDC10,0.058412812,4.98534873,0.720116902
MRPS31P5,-0.158712528,6.979658921,0.037827615
BEX1,0.177834504,4.959682141,0.216054381
DGAT2,0.106597956,5.375273913,0.369221587
MRPL2,0.004286185,6.251078343,1
SLC35E3,0.839041421,7.858122427,0.304026156
TUG1,0.050347904,5.130548046,0.70104902
FXYD1,-0.241196306,7.183830785,0.159847002
USP40,-0.143482786,5.188400665,0.301753214
NBPF8,0.238038714,4.650982166,0.194987931
IRX1,0.257264849,4.744764806,0.096966723
