Short Gene name,logFC,logCPM,PValue
AMD1,0.21287977,3.298286178,0.582782385
LSM11,-0.35359778,3.126122517,0.367105859
TXNL4B,-0.116144006,5.004324304,0.587298127
MFSD1,0.002523091,7.676276624,0.995510282
KCTD17,0.052607334,5.145732388,0.861707784
HEATR3,-0.121223953,3.815545222,0.754411423
DAD1,-0.114641379,5.387706545,0.574278926
LRRC1,-0.064030756,4.273537525,0.85414635
MAP4K4,0.007854109,4.35536717,1
PES1,-0.048736451,4.516706692,0.863396955
ZNF232,0.147118277,3.558542758,0.670002159
DPY19L3,0.139284012,4.003254386,0.696989967
SOX4,0.348053358,3.327313686,0.336573545
ATG7,0.474257959,4.011491519,0.26810944
TMEM170B,-0.052192015,3.621997289,0.92424366
ADAMTS2,-0.017890966,3.33821802,1
KCNK15,0.077450169,3.162236522,0.899720581
MALSU1,0.057738972,4.212155543,0.819306172
APC2,-0.052246009,6.257919999,0.825011213
RGAG4,-0.15488727,3.967544757,0.578863723
DPYSL4,0.039515374,4.639677094,0.886298484
DLL3,-0.159179156,4.382627378,0.592910792
TMEM200C,-0.483130737,3.171680578,0.387530475
STX1A,-0.074025733,3.452858633,0.848578757
CELF3,0.308941385,3.197117034,0.471057778
FOXH1,-0.046552978,5.95434724,0.820432398
CNTFR,-0.045968469,3.837588163,0.958118299
CRELD2,0.312031031,4.187723169,0.262392351
SCFD2,-0.191167866,5.828995021,0.37587133
TAGLN3,-0.050878603,6.660825949,0.805142087
NME1-NME2,0.373811348,3.1386897,0.389223604
COG1,-0.288876171,7.833403429,0.285780232
RPL13AP20,-0.182279305,7.087914534,0.37850735
RPL23AP53,0.045499798,3.867004467,0.894993137
LAP3,0.000760168,9.248249403,0.980394728
CDKN2D,0.018155368,4.627209572,1
NNT-AS1,0.530634837,5.47576332,0.170231439
TCEAL7,0.39647766,4.046227121,0.407417916
GIGYF1,0.157573422,4.86468601,0.551928603
SHFM1,-0.077763786,4.863586627,0.735101211
LPAR3,0.16295326,5.05294952,0.578865119
FASN,-0.015019178,5.173579838,0.945163462
SLC37A1,-0.084196187,4.36855657,0.743971338
ILDR2,0.119570109,3.985069752,0.732344659
TMCO1,0.314703695,3.616581385,0.35463978
PHLDB1,-0.351831921,3.151483596,0.365998079
AKR1C1,0.530406182,5.760866082,0.062917995
BCR,-0.056130017,3.609262585,0.864929408
COPA,-0.144735588,6.186594993,0.497482508
KIF5A,0.291598203,3.855180514,0.367495844
SAR1B,-0.285690022,6.38321884,0.234064472
AP3B2,-0.243769198,4.379744724,0.353747765
LUC7L3,-0.023378094,3.300930663,0.983393301
TXNIP,0.039869764,4.734218067,0.923916832
PIBF1,0.730393616,3.219691142,0.127791909
OCA2,0.153231867,3.287692687,0.788306808
TPMT,-0.2348613,3.406171176,0.527827128
TMEM44,0.083640709,3.190845131,0.896133126
AKAP8,0.073016571,3.203461099,0.814430673
