PGP1,GM23716,GM23720,GM25256,BXS0110,BXS0111,BYS0112,BXS0114,BXS0115,BXS0116,BXS0117,902,14758x3,14799x1,14824x13,14763x7,14739x3,14765x2,14710x6,14781x16,14746x8
11.95456333,10.353535,11.38162867,12.02969133,10.51618933,10.55925467,14.47292133,12.95715167,9.010520333,9.388348,14.17193867,13.165373,14.737318,18.90141533,16.40387533,16.91582933,14.4809005,16.70181367,10.585773,12.13202767,9.430133665
8.331762,9.507433333,8.2971,8.881297,7.173864667,6.932566,7.728857333,8.240472333,6.317916,6.056898333,7.054979333,7.142564667,5.619268,7.719365333,6.544304,5.449787667,4.623263,6.347371,6.532642,9.128048,5.284618
6.844432667,4.347151667,5.339441333,5.537653,5.157523667,5.253608333,5.839546667,7.184878667,5.400231,5.443973,8.144394667,6.406076,5.645800667,9.020243,5.150510667,5.282363,5.5437535,5.966715,3.544936,4.841612667,4.677843834
9.669830333,12.83833467,2.898292333,5.675177667,3.957111,2.601135333,4.114294,5.664490333,4.573888,5.890765333,10.03198133,8.985379667,6.046761333,2.252073667,6.4166,2.000845667,0.8716225,3.214967667,16.721588,16.22377167,3.290219334
17.49065033,19.78351667,18.56543833,17.763136,24.009749,19.323578,20.067025,16.798921,17.039012,21.816782,18.49242433,19.911865,23.41408933,23.351739,13.111134,14.73668267,31.592533,22.36147,13.904152,12.10865833,18.35156717
6.612201,6.049937,5.148319667,5.336032,4.775485667,4.241952667,5.303605667,5.398177667,3.892577,4.648843,6.289402333,6.024248667,4.960693667,5.999869333,5.590777333,6.989646,5.7103625,7.075901667,8.338711,7.112060667,6.1313025
6.254924333,4.826688667,6.622524333,5.808492667,6.437962,6.540679333,7.134058,7.13803,4.906047333,4.387520333,3.971482333,4.612143333,8.577681,12.954694,6.637376333,4.414250333,8.1941315,8.809024333,1.66496,2.626747333,4.047878834
7.660753,7.985787,6.877411,6.920576667,10.485547,9.126561333,9.345756667,7.580752333,10.00179833,10.30553933,13.029115,10.28677633,8.798024333,9.212132,5.768866333,9.592651,12.490576,11.42026733,3.759436,8.259091,8.1685945
4.654029667,6.908751667,4.360653,4.970009333,4.040336333,5.180927333,3.110148333,2.588214667,2.745176,3.265791333,3.682862333,1.653252333,3.955782,3.315877667,2.665354333,5.524344333,2.713641,6.154825333,0.727621,1.465202333,2.5104235
6.527211,5.404899667,6.252059667,5.713062,4.776106333,4.135703333,6.345387333,6.766426667,4.757995,4.704763333,6.723187333,4.867784667,4.543493667,5.840877667,5.152969667,5.383193333,4.418753,5.136640667,4.095528,6.761426,4.259982334
258.1819533,103.2098503,142.2329327,124.0892753,159.8077197,103.6943567,164.5252277,121.5219807,89.70763767,233.4670787,209.2303923,131.8645707,217.31101,214.554487,268.665131,369.4214097,325.514311,291.557654,65.06891,104.7381653,449.3255542
3.312093333,6.049433333,8.467722667,5.262845667,8.612842,7.913243333,8.734308667,5.429116,2.438104333,4.433356,7.420812,10.13380133,10.82138067,15.75718067,7.357328333,11.63689867,17.6079855,10.18613067,5.322057,4.575882333,4.737932166
