"","x"
"158",0.68087586007932
"159",1
"160",0.696297257148506
"161",1
"162",0.857497631232975
"163",1
"164",0.482977789870199
"165",0.781190856447336
"166",0.268445631036412
"167",0.415967240976127
"168",1
"169",0.745940803178403
"170",0.665298382905647
"171",0.611382576253978
"172",0.569803501907667
"173",0.862007454882331
"174",0.810196975837048
"175",0.789029529592706
"176",0.329994457562313
"177",0.0196718766811727
"178",0.62615773121714
"179",0.857366092115916
"180",0.757881794111512
"181",0.744493536621753
"182",0.933176447465459
"183",0.602417806474328
"184",0.492846757998257
"185",1
"186",0.831294251551763
"187",0.65338064322536
"188",0.934111165884387
"189",0.672879117922744
"190",0.666721871203967
"191",0.872968516501442
"192",0.660103906421937
"193",0.64496278578643
"194",0.340442747301985
"195",0.498337063694724
"196",0.584182562048926
"197",1
"198",0.850962958916621
"199",0.286244526858246
"200",0.571664333124158
"201",0.215125368029627
"202",0.777814294854284
"203",1
"204",0.70896489102333
"205",0.832095030344383
"206",0.896784271787997
"207",0.959826483000942
"208",0.307481325338901
"209",0.563992190399395
"210",0.520846252833692
"211",0.573211591024502
"212",0.546266754618032
"213",0.566600283241519
"214",0.804332848253591
"215",0.000275699248662664
"216",1
"217",0.886069844900818
"218",0.811077215781166
"219",0.759336845806367
"220",1
"221",1
"222",0.672581924508297
"223",1
"224",1
"225",0.88952845736407
"226",0.420346557579859
"227",0.566101424657237
"228",0.804332848253591
"229",0.599329323284876
"230",1
"231",0.961771830527305
"232",0.760695466859605
"233",0.508443512334291
"234",0.0959142426784385
"235",0.526702783817722
"236",0.86824731681876
"237",0.168417542987766
"238",0.668257090416957
"239",1
"240",1
"241",1.25697988540243e-06
"242",0.762121436201067
"243",0.483429902038634
"244",1
"245",0.95845734064624
"246",0.651854443420801
"247",1
"248",1
"249",1
"250",0.747577423250983
"251",0.569803501907667
"252",0.745111993046527
"253",0.259776473721597
"254",0.826352892773892
"255",0.622172558245909
"256",1
"257",0.903599246098289
"258",0.0907183405461405
"259",0.0986089133123059
"260",1
"261",0.768240739225455
"262",0.81985220482477
"263",1
"264",1
"265",0.602133068385386
"266",1
"267",0.560586272744295
"268",0.927289786906222
"269",1
"270",1
"271",0.257758165627673
"272",0.93089896620865
"273",0.368592188904988
"274",0.431819400591805
"275",0.502643095238734
"276",0.677181779893771
"277",1
"278",0.881476551311122
"279",0.187945190927724
"280",1
"281",0.718331198452775
"282",1
"283",0.551584954219179
"284",0.570557252957964
"285",0.695036118693379
"286",0.0261454222616415
"287",0.895349974555284
"288",0.00749610501212348
"289",0.895485050916417
"290",0.862727259425037
"291",0.234553770792524
"292",0.757550832921843
"293",1
"294",0.704558277921209
"295",0.759336845806367
"296",0.747591605991236
"297",0.49669061013769
"298",0.902728195089717
"299",1
"300",0.690797733716368
"301",0.144951414660173
"302",1
"303",1
"304",0.853565941463723
"305",0.772633019772395
"306",1
"307",0.0337570175814021
"308",0.566814909905794
"309",1
"310",0.514208263124321
"311",0.853626847274467
"312",0.783719843796112
"313",1
"314",0.607691004330379
"315",0.411165604732023
"316",0.296875831458666
"317",0.75863107477121
"318",0.431219946218227
"319",2.15443708544683e-05
"320",0.773253991499409
"321",0.541242955561501
"322",0.878958977171152
"323",0.73026932426021
"324",0.45626663844843
"325",0.812066795457397
"326",0.822739113916304
"327",0.827907175816025
"328",0.455569619726838
"329",0.17970129091451
"330",1
