"","logFC","logCPM","LR","PValue"
"353",-13.0963662428611,6.78515210832564,8228.57390383547,0
"354",-14.7070562340464,5.34670981323734,-77621431.870996,1
"356",-12.9936861090265,7.40731404283968,1355.47945283923,9.93002704037206e-297
"357",-8.58943005025497,11.2033882842384,929.268753538091,4.25850695489692e-204
"361",-15.6196519316423,4.82719947810835,-77687466.2212438,1
"366",-15.4890210548975,4.73728509750375,16841.9405173103,0
"368",-12.9984653965308,7.17110505022034,1297.78075694504,3.43158423415988e-284
"369",-11.0045442362392,8.72276232002704,18.5867483009058,1.62345163815991e-05
"371",-15.0043385988754,5.19201948402625,-77646805.6711231,1
"376",-15.6885054708374,4.69644288628761,-77689845.5516387,1
"377",-15.3914556979668,4.82036878844981,-77674774.8068831,1
"379",-15.6388186368866,4.6503755853466,-77687888.615422,1
"380",-12.7977386037942,6.68973960519858,300.066625126319,3.18607507175321e-67
"381",-11.4084395091072,8.50855265756344,587.628533661836,8.21746550496993e-130
"383",-15.4965186881365,4.69593505549923,-77681258.8948918,1
"384",-12.9752026350152,7.35471428649981,686.380281116234,2.73805981239869e-151
"387",-15.0818191409514,4.99452065978662,901.559230759868,4.4963802237945e-198
"389",-14.8141956903035,5.28436307326224,-77630834.0457421,1
"390",-8.52973684714758,11.0936818995423,213.080308733289,2.92315917626851e-48
"394",-12.5615221199627,7.52041260495754,1029.2673432943,7.81072309326949e-226
"397",-15.2807177790158,4.79669007006284,-77665997.4566208,1
"399",-14.1937894385405,5.90204201576864,-77556461.2249801,1
"403",-14.8363466998634,5.4021686640089,-77633531.2868984,1
"405",-15.4913927087866,4.77513802035204,-77679872.3723434,1
"411",-13.1612912687558,6.78318774236479,2483.80992055131,0
"412",-10.0687994590583,10.4385700182654,100.263283771248,1.33427440997501e-23
"417",-11.2905263191298,8.72162893216368,808.328845299655,8.34126390270607e-178
"422",-8.45512133154962,10.6435490880278,44.1505286402187,3.040696681151e-11
"423",-14.079382945743,5.8372168890275,-77542790.0864827,1
"427",-10.7303590443724,10.0106370646644,56.0915228427933,6.91747327593063e-14
"430",-12.7489484243483,7.12148080026685,2189.49805908149,0
"432",-15.2080268425722,4.90372141246088,-77661391.7420688,1
"435",-14.789067309914,5.34677908726967,-77628547.6790678,1
"438",-11.994206815103,7.93604668327052,341.827596316784,2.55185346848716e-76
"440",-15.9172673434238,4.62988304488981,3857.97073357088,0
"441",-14.8806771056857,5.19307068698412,-77634098.7644681,1
"446",-8.96474858063414,10.8335538876439,144.722486031059,2.4696350771473e-33
"447",-13.6871841117823,6.24355875045225,-77473711.0528471,1
"448",-15.6045942167716,4.60552252542477,-77685958.2835825,1
"450",-15.3645110082511,4.67684902659417,-77671743.0905255,1
"451",-12.3214565808637,7.79143177716546,1181.11603331806,7.75066519138994e-259
"452",-14.446970289791,5.473911333244,2598.73519387118,0
"453",-13.3322438411632,6.69221583154121,1441.90574429183,1.645571912158e-315
"454",-15.2738754368887,4.83121039787495,-77665883.6573269,1
"455",-14.4505309981156,5.48530475302148,-77591315.8432092,1
"457",-15.1292572483452,5.04191147423543,-77656606.9579813,1
"458",-14.9832141746953,5.21817581184722,-77645149.4712829,1
"462",-14.7741619487362,5.43667937660436,-77630410.8254764,1
"464",-14.5561645185389,5.38357290947183,7483.91592757692,0
"465",-14.4951250144251,5.49232115928646,-77596984.3402917,1
"468",-14.992663721408,4.86201862801326,-77645212.2726759,1
"470",-14.9155070611387,5.1965015839578,-77636832.2492381,1
"472",-14.7737635203219,5.0151303385197,1383.36306549283,8.66334663271718e-303
"478",-15.3465427928795,4.94057884695668,-77673968.4495317,1
"481",-13.2275071944773,6.61466602502036,2808.08655859764,0
"483",-12.1750284946387,7.91106508959105,1458.32441240319,4.45237138062756e-319
"487",-7.21333486397916,12.6711579066747,297.586050586553,1.10585100394836e-66
"490",-13.4457323236376,6.31637349972775,107.508182739623,3.44480220247386e-25
"493",-12.5372378931043,7.53531014851365,221.688158642167,3.87399802676445e-50
"494",-13.1836734241169,6.16101978777704,338.986278881462,1.06082068463782e-75
"495",-12.7959510643913,7.44687324580445,8.88849442123631,0.00286973272924221
"497",-14.6774114020238,5.53771448066288,-77619382.7053068,1
"498",-13.8266367491698,6.17996135149773,4629.35500020393,0
"502",-14.0224505543277,5.96044650488262,3184.22199083507,0
"503",-13.008282002808,6.85543560501822,6759.98776385429,0
"504",-14.3101190559287,5.71468636987264,-77575537.6793136,1
"505",-13.9116565791171,6.09726013706402,523.944195337525,5.867270870618e-116
"506",-14.5066351614895,5.52802324370778,8896.69747530129,0
"508",-15.0828384148961,5.24697290003181,-77654960.586912,1
"510",-6.97193342942001,13.3222328307478,285.510635407942,4.72905271142299e-64
"513",-14.9394234960791,5.11108148511377,-77641462.3101582,1
"514",-12.2103703094037,7.77416604582081,1971.81471238969,0
"515",-14.9124517346897,5.21187050133612,-77639690.7905327,1
"517",-14.5342286750119,5.49466529691445,-77602857.3365864,1
"529",-13.6310129060549,6.32228253595646,647.210353274111,9.03246634187901e-143
"531",-15.4835786584886,4.72080633216204,-77679195.1179812,1
"532",-15.6621014158525,4.519406002092,5911.53527656104,0
"536",-13.9411180185505,6.06479419152922,-77519766.0217164,1
"539",-13.9552322461628,5.94232066943892,-77519207.2511514,1
"540",-13.1988256903567,6.78086451521379,1894.43928034775,0
"542",-11.8877517465027,7.86732499076358,579.513282861656,4.7857685255764e-128
"543",-12.6553080332233,7.19788224614106,3659.81317455656,0
"545",-10.6551755645303,9.3459729848583,1079.72660705013,8.41837286361974e-237
"546",-15.4853226946141,4.71309066290631,-77679440.9518072,1
"547",-14.9632432356355,5.52631477585619,469.855315194496,3.44550750586343e-104
"549",-15.3285404813646,4.98766712841971,-77669959.6570302,1
"550",-15.1379250103134,4.97011667456622,-77657055.116792,1
"551",-15.1397478954789,5.14243408969029,-77658980.9031934,1
"552",-14.8469037220321,5.28104506469478,-77633035.6259398,1
"557",-14.6438331398331,5.83634310867401,1811.43880090192,0
"559",-13.6507798165274,6.27494797399936,-77468016.2784668,1
"561",-13.3435707083208,6.49401129625856,3067.48437581446,0
"564",-15.3745831309987,4.82094884658433,-77672805.640029,1
"573",-13.3299370888955,6.73545950702791,6131.77121836234,0
"574",-13.1906714879944,6.86068971370176,3609.84485434,0
"579",-10.8154937512197,8.99495419224782,947.875865929209,3.84130067963375e-208
"583",-14.7584031170337,5.30460769459934,-77625509.357879,1
"586",-14.8727829312163,5.22153325673278,-77635580.4121489,1
"587",-14.8052856581627,5.35672599731979,-77631550.2420571,1
"588",-10.4624584286833,9.19690173375254,8.25699166667637,0.00405953444766297
"591",-13.7926399499393,6.36229125684156,2788.41144836723,0
"592",-15.6030935382395,4.75981223013827,-77686986.6828215,1
"593",-14.3123782812219,5.95736175470679,2025.6822912951,0
"595",-15.4939942431747,4.66483868145029,-77679873.9282121,1
"596",-9.23838608356738,10.4844081204413,550.866550881959,8.15605913269415e-122
"597",-14.7624328863226,5.3157974845596,17935.9000210692,0
"599",-15.7174113864351,4.71049124603405,-77691941.0916831,1
"601",-10.5896530604712,9.22535376025791,949.098657435717,2.08292264606154e-208
"609",-15.3610433551987,4.79268095667406,-77671414.725653,1
"610",-14.78911878216,4.93804416862865,1681.71054980099,0
"612",-14.5940074213324,5.33052511223833,-77607069.1932742,1
"613",-13.6113206048836,6.26109803325549,9584.38447434581,0
"616",-15.0069062387282,5.23327543433146,-77649865.0017903,1
"617",-13.0811749337133,7.97278370631405,49.7636012345872,1.73431733554191e-12
"619",-14.7828213933113,5.67461022881442,775.259334819658,1.29191096365601e-170
"620",-14.8377912674861,5.17107414174891,-77630529.9926312,1
"623",-11.184562823175,8.6032731962723,336.942638054475,2.95609483287864e-75
"624",-15.6590456360108,5.00499626063187,830.986857771472,9.88822841059737e-183
"630",-14.7461979954329,5.19443455729162,2356.45986918346,0
"633",-14.7553966736654,5.36481460408983,-77624412.8508591,1
"635",-15.2119752372739,5.00839610797552,1822.26471064235,0
"636",-14.9566122019609,5.14063628376208,-77640807.6217564,1
"641",-15.2530493990266,4.88060007511384,1905.82972987297,0
"642",-15.358086437636,4.81567180266626,-77672505.5188388,1
"647",-14.4732671858578,5.5022793509898,-77593999.6937713,1
"653",-14.9190519829188,5.44023639608123,3022.13115307631,0
"654",-14.8282512438438,5.26044542952311,-77630090.5015749,1
"655",-14.8046599832444,5.23972615515841,-77631947.810162,1
"656",-14.9886188270453,5.4323224290877,619.624073615899,9.02650886464438e-137
"662",-15.1827586586514,5.31650739835486,3264.03939366287,0
"668",-15.534691040891,4.13715025451513,396.612060700013,3.00922181248342e-88
"670",-9.51860733658041,10.4304596808302,894.263166306927,1.73357983627161e-196
"671",-13.2017837137446,6.69852374847293,1546.17852673875,0
"673",-8.43931597953581,11.3548327514406,763.453160918612,4.76688164182089e-168
"674",-15.1694005136659,5.05454405224929,-77660647.9285578,1
"675",-13.7112603171291,6.31533537119584,11641.6334037667,0
"676",-11.9402352102622,8.21607829427876,1005.51875964794,1.13420027390502e-220
"679",-11.8244101417152,8.04906594534075,931.128855082116,1.6784489851313e-204
"682",-15.4205209135427,4.5014108960627,-77672798.5236541,1
"683",-14.947129382998,5.27037376574131,-77642952.3578871,1
"684",-8.5922766979827,11.302531335501,845.928557863071,5.580960524824e-186
"686",-12.8815347049853,7.02847693521892,1907.47720470213,0
"689",-15.9174065796348,4.8952816653811,-77702245.2087741,1
"690",-15.2690139504599,4.77435423730486,-77664445.8324999,1
"692",-16.0146085426332,4.62823183949701,907.951006337422,1.83390103302174e-199
"696",-14.9623079224045,5.18240464656691,-77644259.3771038,1
"697",-14.989648397216,4.98989048358782,-77645522.76321,1
"698",-15.6494698728839,4.62923652312332,-77688961.6918437,1
"703",-7.45897587641985,12.3441624672124,413.755001411975,5.58172033423163e-92
"704",-12.5239713652534,7.37118799951631,607.023901604139,4.96660034885942e-134
"708",-15.3564299107233,4.87837777120651,-77672756.7093167,1
"711",-14.9039693247116,5.15438364051102,-77638194.9133404,1
"713",-14.8535392999442,5.34711987946547,-77633421.4483673,1
"716",-13.9869003382955,6.03401530709828,2766.22043750389,0
"724",-15.3788997817101,4.37455957563085,169.60961231244,9.0039196924663e-39
"728",-14.4754779030191,5.82732057150522,706.366661231091,1.23378847901198e-155
"730",-13.4422527814348,6.74944072372343,2477.45577052381,0
"732",-14.4943983619868,5.58148429223123,-77598360.4244578,1
"735",-15.6166063769982,4.6989992693309,-77686932.6910855,1
"740",-15.5298147398446,4.841739806199,-77682470.306485,1
"744",-15.122024160703,5.06321777024589,-77656230.3137723,1
"748",-12.5295739902202,7.13386212118456,1526.22693400363,0
"759",-15.3080376198442,4.76548302214388,-77669386.3171013,1
"760",-12.5257154764608,7.39347673244138,1667.00814419565,0
"764",-11.5240532363802,8.29288565265561,782.032031963832,4.35187223790814e-172
"768",-14.2639170378675,5.91625511168976,-77570475.7399592,1
"774",-14.7868676739883,5.29869802876306,-77628525.8655439,1
"775",-12.8256615855889,7.38928146379595,977.903697520408,1.14093054303245e-214
"779",-15.5185317833103,4.84755846104043,-77681717.908921,1
"783",-13.6595796998553,6.33255862965861,8325.2917616935,0
"785",-10.7235405752573,9.27874315610867,448.590424081133,1.46177106578938e-99
"786",-14.5806376354465,5.59993386219814,-77610079.2019022,1
"787",-14.7868945400469,5.11337972257318,-77625879.1800141,1
"790",-14.2889908424397,5.71186620146587,-77569518.8996456,1
"791",-15.5049604475166,4.76096217848967,-77681358.873719,1
"794",-14.0426298594112,5.92290726843588,-77535357.573915,1
"797",-14.4148973658562,5.5853332116268,1373.5760157999,1.15999479141968e-300
"805",-14.5054245602894,5.59356110092423,-77600065.6703509,1
"806",-14.7954977302006,5.37674308464068,-77629250.4260006,1
"807",-13.674924940704,5.98456821443753,2598.17539993068,0
"808",-15.3847541207985,4.95602401240764,-77675851.0586652,1
"809",-14.7431755389654,5.3344005533966,-77624161.4599625,1
"811",-13.3120120108533,6.51109903266638,1499.29845401967,0
"816",-15.6354642127377,4.5805634167715,-77687771.3087928,1
"821",-15.2667838945233,5.0645705768618,932.079581772146,1.0428920020977e-204
"824",-15.4811416473692,4.5726341977984,-77677226.7473992,1
"831",-15.1615119079251,4.94775910757546,-77658940.9950794,1
"835",-16.0857899444817,4.45216780407494,276.854743873666,3.63928063490716e-62
"839",-14.10363750476,5.91892558545543,-77550547.4172282,1
"842",-14.6032406281557,5.24827653105415,4233.19682511523,0
"845",-13.8915185424918,5.34228831614451,149.937041999968,1.7894553687762e-34
"847",-15.9400744670537,4.51766803723743,383.340093970584,2.33226857235414e-85
"850",-16.1264279154753,4.71345528618887,1430.34945484876,5.33922432172333e-313
"851",-15.5750870523961,4.69470994274142,-77684705.1130169,1
"852",-15.1890572506154,5.07131019537943,-77661676.7805193,1
"853",-15.1673738474502,4.94584896479271,-77658014.3515275,1
"855",-15.5785095345268,4.8499827034434,-77685746.6636091,1
"857",-15.8771020761724,4.80797058688254,2618.40313519547,0
"858",-15.3007171867452,4.88203568173441,921.241129551013,2.3676293664316e-202
"859",-14.7617922260984,5.4820006388827,-77628525.7304541,1
"860",-12.9304222186232,7.07995174557251,654.955673620607,1.86791047318792e-144
"863",-8.76786663779538,11.027904585267,638.903833824419,5.78549411484686e-141
"866",-14.9337999163917,5.25332808122967,611.135052372315,6.33684728607834e-135
"868",-14.1728578074981,5.75039056148796,869.875382299804,3.4727575916086e-191
"870",-13.9294521184853,5.95293083475723,1564.90737095306,0
"872",-14.7943664425321,5.26911213775716,-77628961.9150089,1
"873",-15.1681485879745,5.157126866626,-77660678.5738922,1
"878",-14.9850309673803,5.08525697294366,-77646120.8788517,1
"881",-14.7770326504517,5.40139441938753,-77629914.9754737,1
"884",-14.6155234940886,5.61486560159127,-77613752.8804937,1
"886",-14.9428918284376,5.14845238651023,-77642247.6289055,1
"887",-12.7970881319477,7.15489420417019,2736.48296673755,0
"889",-12.6069657488056,6.91386962266215,299.185886293289,4.95610063977555e-67
"896",-15.6487810579465,4.66957683228075,-77688621.2666269,1
"898",-12.6286652642109,7.26642353422626,1158.44909449817,6.54037791951253e-254
"899",-15.2034149400833,5.24233684415853,-77665121.2072838,1
"902",-14.3087538112193,5.26035209564921,277.87000543086,2.18657853950742e-62
"904",-12.9187874515618,7.17248677869048,378.887135017887,2.17395404894283e-84
"905",-15.0418552329562,5.04066575908021,-77650051.1936011,1
"913",-14.353443268221,5.78207904757084,1139.48175577783,8.66735711447448e-250
"914",-13.7767631089045,6.10146979230578,2106.31442759192,0
"918",-14.195638123393,5.78774931336716,-77558761.4589582,1
"919",-14.410774095878,5.64350276008938,-77586958.2270026,1
"920",-14.5476362280956,5.47381254667762,3146.88618653799,0
"925",-8.49659205105968,11.4131153709819,864.103504115281,6.24401896523533e-190
"926",-14.0654926591366,5.91651029114914,7758.65542686031,0
"927",-14.0160121540364,5.97992880812552,9004.05753988509,0
"929",-14.3617139968435,5.66888268944124,3392.57580767175,0
"934",-14.5934296970206,5.56858236264114,-77609007.0646887,1
"936",-12.9615226520633,6.81859164243487,2578.81753420585,0
"937",-15.2055620640799,5.0774457282934,-77662742.9040297,1
"942",-14.0855687217177,5.73099103801691,-77538485.7182429,1
"946",-14.463502147114,5.42282130874708,42654.0696302886,0
"948",-12.9106113692397,7.0081902283936,591.455274681274,1.20883453966934e-130
"952",-13.4031887952405,6.82469788481111,1623.73064266974,0
"953",-12.0361819463311,7.73199424426886,596.684362873437,8.81007883516898e-132
"957",-15.3416844447482,4.80784819123094,-77671885.7340285,1
"963",-15.2664547191193,4.92703345370013,-77667834.5505845,1
"964",-14.5334939880474,5.45467228584365,-77602659.3262134,1
"965",-12.758654846418,7.1229222683044,4060.07256988498,0
"967",-13.2547596264412,6.65819313542554,8079.30122130786,0
"969",-15.5471865019099,4.71351389826492,-77682856.2538482,1
"972",-15.4112029718973,4.72740029988903,-77674188.2356686,1
"975",-15.0178610729082,5.22803001420045,-77649976.4171304,1
"976",-15.3115538020466,4.86751187505014,-77669330.0240964,1
"980",-14.8106358842412,5.29687142693503,-77628722.5260398,1
"982",-15.4323986959713,4.68134641582966,-77674231.916331,1
"983",-15.8443288326265,4.71098614129084,-77699868.0857506,1
"987",-15.5925394102587,4.65153680575807,-77686189.678157,1
"989",-14.4854898623956,5.61693067460185,-77597745.7623538,1
"992",-7.18530771585712,12.6276041349561,326.609876125601,5.2622594941612e-73
"993",-13.954067686963,5.82263340752781,5460.16455500266,0
"997",-14.7667729350009,5.12917863033143,-77625962.3201095,1
"1003",-14.6643951560929,5.41914770586662,-77617047.5462487,1
"1004",-15.1029730670801,5.60848749580589,320.144643619005,1.34708422611151e-71
"1005",-15.1377987904284,4.96366818676771,-77654852.9913252,1
"1014",-15.3930458913782,4.75018057219657,-77672603.2914859,1
"1015",-14.5284623287735,5.42372140941766,-77600515.3892688,1
"1017",-12.9214860252696,7.07953569494445,1388.63372740459,6.19942514026481e-304
"1020",-14.0132985704593,5.92133206061364,-77533823.504886,1
"1022",-15.1628998460689,4.92488735785214,-77657978.2395322,1
"1029",-13.4873439458475,6.57424946153439,702.464532906472,8.70515712804282e-155
"1030",-15.2501216164605,4.96632811805596,-77664019.495655,1
"1034",-14.3574821015481,5.48379432647043,-77578227.2537002,1
"1036",-15.4483576422841,4.7403192671546,-77677282.704607,1
"1039",-12.2263099699251,7.65451918591523,326.498421925156,5.56477870697285e-73
"1042",-14.9080443371787,5.12066305340304,-77635812.0874425,1
"1045",-14.3356484106876,5.80597966224913,-77578530.269108,1
"1046",-10.8275526104869,10.3605747053334,89.9634917595466,2.42595511220081e-21
"1047",-14.5039539660381,5.67282046198184,871.102524379387,1.87887780378443e-191
"1049",-15.6666245481222,4.81328922946926,-77690597.8053295,1
"1051",-13.7794152606187,6.56310971973669,235.756334495564,3.31167575268122e-53
"1056",-14.5372716505671,5.34042153010369,2028.35857278,0
"1057",-15.1713689768877,4.89454697446116,-77659979.2713308,1
"1058",-10.6578990192302,9.268323982371,1195.68107412993,5.29570293989786e-262
"1059",-15.5096820216636,4.70867705496263,-77680731.9392824,1
"1060",-12.6725413380304,7.37090191801534,367.7782959946,5.70074766596683e-82
"1061",-14.4675853898146,5.49311087424164,-77592952.550386,1
"1064",-13.0774986809612,6.67053039229761,2647.80109217746,0
"1065",-11.5629019449382,8.15450538843347,203.988609542865,2.81494441764799e-46
"1066",-15.3356447520144,4.92064384881155,-77671482.2777181,1
"1067",-15.6387560930988,4.70792190950296,-77688395.575075,1
"1068",-13.7172194347741,6.14849941590134,-77480760.1836597,1
"1069",-14.7448634890373,5.26559809624717,-77625556.0686661,1
"1072",-15.7243257358477,5.88237452873961,51.2458411246514,8.14932009525812e-13
"1073",-14.6629570005414,5.29056420727888,29209.545775675,0
"1076",-14.4911916811767,5.80669042387754,2030.78187128045,0
"1079",-14.7174914459642,5.32034612998096,-77623286.5062031,1
"1083",-11.9937978698985,7.81645639648552,2165.95615384024,0
"1089",-15.4734722917051,4.74459644427268,-77678703.5468725,1
"1092",-9.06267051884632,10.7118632866537,1185.15753156,1.02564785260526e-259
"1093",-12.9423040583082,7.12330851793959,2453.20483885897,0
"1095",-14.9402715123847,5.03325755976451,621.41906276154,3.67381037618823e-137
